task_id,submit_time,wait_time_secs,completion_time,execution_ms,status,error_msg
task_ce-8,2024-06-22 23:57:14.108561,0.425761,2024-06-22 23:57:39.068189,24.533864974975586,SUCCESS,
task_ce-109,2024-06-22 23:57:14.230205,25.492822,2024-06-22 23:57:41.540368,1.8173377513885498,SUCCESS,
task_ce-124,2024-06-22 23:57:14.246747,25.480929,2024-06-22 23:57:43.111517,3.383837938308716,SUCCESS,
task_ce-128,2024-06-22 23:57:14.251108,25.848163,2024-06-22 23:57:43.110428,3.011154890060425,SUCCESS,
task_ce-125,2024-06-22 23:57:14.247866,25.514003,2024-06-22 23:57:43.106839,3.3449652194976807,SUCCESS,
task_ce-130,2024-06-22 23:57:14.253274,25.864803,2024-06-22 23:57:44.925327,4.80724573135376,SUCCESS,
task_ce-126,2024-06-22 23:57:14.248962,25.514138,2024-06-22 23:57:44.926689,5.1635870933532715,SUCCESS,
task_ce-127,2024-06-22 23:57:14.250075,25.513564,2024-06-22 23:57:43.608074,3.844439744949341,SUCCESS,
task_ce-37,2024-06-22 23:57:14.139523,0.439772,2024-06-22 23:57:45.490058,30.910762786865234,SUCCESS,
task_ce-88,2024-06-22 23:57:14.202214,15.313006,2024-06-22 23:57:45.500314,15.98509407043457,SUCCESS,
task_ce-91,2024-06-22 23:57:14.205397,15.568843,2024-06-22 23:57:45.500484,15.726237297058105,SUCCESS,
task_ce-90,2024-06-22 23:57:14.204315,15.557327,2024-06-22 23:57:45.500026,15.73838496208191,SUCCESS,
task_ce-116,2024-06-22 23:57:14.238356,23.203155,2024-06-22 23:57:45.877513,8.435994863510132,SUCCESS,
task_ce-118,2024-06-22 23:57:14.240481,23.209381,2024-06-22 23:57:45.875801,8.425935745239258,SUCCESS,
task_ce-62,2024-06-22 23:57:14.169884,22.937458,2024-06-22 23:57:45.876007,8.768663167953491,SUCCESS,
task_ce-120,2024-06-22 23:57:14.242556,23.209726,2024-06-22 23:57:45.972872,8.520589113235474,SUCCESS,
task_ce-121,2024-06-22 23:57:14.243618,23.81376,2024-06-22 23:57:46.369372,8.311994075775146,SUCCESS,
